"Исходный текст — английский","Перевод — русский"
"Do not load or parse the parent theme styles. Only use this option if the Child Theme uses a Framework like Genesis and uses <em>only child theme stylesheets</em> for its appearance.","Не загружайте и не анализируйте стили Родительской темы. Используйте эту опцию, только если дочерняя тема использует Framework, такой как Genesis, и использует <em> только таблицы стилей дочерней темы </em> для своего внешнего вида."
"Repair the header template in the child theme.","Восстановите шаблон заголовка в дочерней теме."
"Let the Configurator (try to) resolve any stylesheet issues listed above. This can fix many, but not all, common problems.","Позвольте Конфигуратору (попытаться) решить любые проблемы таблиц стилей, перечисленные выше. Это может исправить многие, но не все, общие проблемы."
"Do not force dependency for these stylesheet handles:","Не форсируйте зависимость для этих дескрипторов таблицы стилей:"
"By default, the order of stylesheets that load prior to the primary stylesheet is preserved by treating them as dependencies. In some cases, stylesheets are detected in the preview that are not used site-wide. If necessary, dependency can be removed for specific stylesheets above.","По умолчанию порядок таблиц стилей, загружаемых до основной таблицы стилей, сохраняется путем их обработки в качестве зависимостей. В некоторых случаях в предварительном просмотре обнаруживаются таблицы стилей, которые не используются во всем сайте. При необходимости, зависимость может быть удалена для конкретных таблиц стилей выше."
"Customize the Child Theme Name, Description, Author, Version, etc.:","Настройте имя, описание, автора, версию и т. Д. Темы ребенка:"
"Show/Hide Child Theme Attributes","Показать / скрыть атрибуты дочерней темы"
"Click to toggle form","Нажмите, чтобы переключить форму"
"Child Theme Name","Название детской темы"
"Theme Name","Название темы"
"Theme Website","Тематический сайт"
"Author","автор"
"Author Website","Сайт автора"
"Theme Description","Описание темы"
"Description","Описание"
"Theme Tags","Теги Темы"
"Tags","Теги"
"Version","Версия"
"Copy Menus, Widgets and other Customizer Settings from the Parent Theme to the Child Theme:","Скопируйте меню, виджеты и другие настройки настройщика из Родительской темы в дочернюю тему:"
"This option replaces the Child Theme's existing Menus, Widgets and other Customizer Settings with those from the Parent Theme. You should only need to use this option the first time you configure a Child Theme. <strong>Some themes use additional options that cannot be copied with the free verson of CTC. Click the ""Upgrade"" tab for more information.</strong>","Этот параметр заменяет существующие меню, виджеты и другие настройки настройщика дочерней темы на Родительськийские темы. Вам следует использовать эту опцию только при первой настройке дочерней темы. <strong> В некоторых темах используются дополнительные параметры, которые нельзя скопировать с помощью бесплатной версии CTC. Нажмите на вкладку ""Обновить"" для получения дополнительной информации. </strong>"
"Click to run the Configurator:","Нажмите, чтобы запустить Конфигуратор:"
"Configure Child Theme","Настроить дочернюю тему"
"Parse Plugin stylesheets:","Таблицы стилей Parse Plugin:"
"Select the plugin stylesheets you wish to customize below.","Выберите таблицы стилей плагина, которые вы хотите настроить ниже."
"Configure Plugin Styles","Настроить стили плагинов"
"To find and edit specific selectors within @media query blocks, first choose the query, then the selector. Use the ""base"" query to edit all other selectors.","Чтобы найти и отредактировать определенные селекторы в блоках запросов @media, сначала выберите запрос, затем селектор. Используйте «базовый» запрос для редактирования всех остальных селекторов."
"@media Query","@media Query"
"( or ""base"" )","(или «база»)"
"Selector","селектор"
"Sample","Образец"
"Save Child Values","Сохранить дочерние ценности"
"Delete Child Values","Удалить дочерние значения"
"Property","Свойство"
"Baseline Value","Базовое значение"
"Child Value","Детская ценность"
"New Property","Новая недвижимость"
"Order","порядок"
"Copy Selector","Копировать селектор"
"Save","Сохранить"
"Raw CSS","Сырой CSS"
"Use to enter shorthand CSS or new @media queries and selectors.","Используйте для ввода сокращенных CSS или новых @media запросов и селекторов."
"Values entered here are merged into existing child styles or added to the child stylesheet if they do not exist in the parent.","Введенные здесь значения объединяются в существующие дочерние стили или добавляются в дочернюю таблицу стилей, если они не существуют в Родительськийском."
"New user?","Новый пользователь?"
"Click help","Нажмите помощь"
"Get CTC Pro and other tools","Получить CTC Pro и другие инструменты"
"Lilaea Media - Responsive Tools for a Mobile World","Lilaea Media - гибкие инструменты для мобильного мира"
"To find and edit selectors containing specific values for a given property, first choose the property (e.g., ""color""), then click ""Selectors"" for any resulting value. A dialog panel will open with the corresponding selectors, grouped by media query.","Чтобы найти и отредактировать селекторы, содержащие конкретные значения для данного свойства, сначала выберите свойство (например, «цвет»), затем нажмите «Селекторы» для любого полученного значения. Откроется диалоговая панель с соответствующими селекторами, сгруппированными по медиа-запросу."
"Value","Ценность"
"CTC encountered an error:","CTC обнаружил ошибку:"
"Child Theme <strong>%s</strong> has been reset. Please configure it using the settings below.","Дочерняя тема <strong> %s  </strong> была сброшена. Пожалуйста, настройте его, используя настройки ниже."
"Update Key saved successfully.","Ключ обновления успешно сохранен."
"Child Theme files modified successfully.","Файлы дочерней темы успешно изменены."
"Child Theme <strong>%s</strong> has been generated successfully.","Дочерняя тема <strong> %s  </strong> создана успешно."
"IMPORTANT:","ВАЖНЫЙ:"
"You must %sNetwork enable%s your child theme.","Вы должны %s Network включить %s  вашей дочерней темы."
"Go to Themes","Перейти к темам"
"%sPreview your child theme%s before activating."," %s Просмотрите свою дочернюю тему %s  перед активацией."
"Live Preview","Предварительный просмотр"
"Parent/ Child","Родительський / Дочерний"
"Query/ Selector","Запрос / Селектор"
"Property/ Value","Стоимость имущества"
"Web Fonts & CSS","Веб-шрифты и CSS"
"Baseline Styles","Базовые стили"
"Child Styles","Детские стили"
"Files","Файлы"
"Version:","Версия:"
"By:","По:"
"Preview","предварительный просмотр"
"in default Site","на сайте по умолчанию"
"Not Network Enabled","Не сеть включена"
"Additional Linked Stylesheets","Дополнительные связанные таблицы стилей"
"Use <code>@import url( [path] );</code> to link additional stylesheets. Child Theme Configurator uses the <code>@import</code> keyword to identify them and convert them to <code>&lt;link&gt;</code> tags. <strong>Example:</strong>","Используйте <code>@import  url( [path] );</code>, чтобы связать дополнительные таблицы стилей. Конфигуратор дочерней темы использует ключевое слово <code>@import </code> для их идентификации и преобразования в теги <code>& lt; link & gt; </code>. <strong> Пример: </strong>"
"Local Font Files","Локальные файлы шрифтов"
"Use a relative path to link to webfont kit stylesheets you have uploaded to your Child Theme. <strong>Example:</strong>","Используйте относительный путь для ссылки на таблицы стилей набора веб-шрифтов, которые вы загрузили в свою дочернюю тему. <strong> Пример: </strong>"
"Export Child Theme","Экспорт детской темы"
"http://www.childthemeconfigurator.com","http://www.childthemeconfigurator.com"
,
"When using the Customizer is not enough - Create child themes and customize styles, templates, functions and more.","При использовании Customizer недостаточно - создавать дочерние темы и настраивать стили, шаблоны, функции и многое другое."
,
"Lilaea Media","Lilaea Media"
,
"http://www.lilaeamedia.com","http://www.lilaeamedia.com"
